Node2,Node3,s1,1589496230.276381,0,0,Node2,Node3,s2,1589496230.280438,1,0,Node3,Node2,s3,1589496230.334184,0,0,Node3,Node2,s4,1589496230.335615,1,0
Node3,Node4,s1,1589496230.370421,0,0,Node3,Node4,s2,1589496230.3743842,1,0,Node4,Node3,s3,1589496230.38672,0,0,Node4,Node3,s4,1589496230.387886,1,0
Node4,Node5,s1,1589496230.4313002,0,0,Node4,Node5,s2,1589496230.4361768,1,0,Node5,Node4,s3,1589496230.447281,0,0,Node5,Node4,s4,1589496230.4485471,1,0
Node5,Node6,s1,1589496230.483785,0,0,Node5,Node6,s2,1589496230.487709,1,0,Node6,Node5,s3,1589496230.516858,0,0,Node6,Node5,s4,1589496230.5295591,1,0
Node6,Node7,s1,1589496230.5706508,0,0,Node6,Node7,s2,1589496230.575364,1,0,Node7,Node6,s3,1589496230.607146,0,0,Node7,Node6,s4,1589496230.610222,1,0
Node0,Node1,s1,1589496233.858111,0,0,Node0,Node1,s2,1589496233.869623,1,0,Node1,Node0,s3,1589496233.891335,0,0,Node1,Node0,s4,1589496233.894391,1,0
Node1,Node2,s1,1589496233.988572,0,0,Node1,Node2,s2,1589496233.9997618,1,0,Node2,Node1,s3,1589496234.0526268,0,0,Node2,Node1,s4,1589496234.055872,1,0
Node2,Node3,s1,1589496234.1527119,0,0,Node2,Node3,s2,1589496234.1926599,1,0,Node3,Node2,s3,1589496234.180018,0,0,Node3,Node2,s4,1589496234.2867699,1,0
Node3,Node4,s1,1589496234.403724,0,0,Node3,Node4,s2,1589496234.413265,1,0,Node4,Node3,s3,1589496234.493376,0,0,Node4,Node3,s4,1589496234.495786,1,0
Node4,Node5,s1,1589496234.6065369,0,0,Node4,Node5,s2,1589496234.6168919,1,0,Node5,Node4,s3,1589496234.675144,0,0,Node5,Node4,s4,1589496234.6778262,1,0
Node5,Node6,s1,1589496234.948062,0,0,Node5,Node6,s2,1589496234.960201,1,0,Node6,Node5,s3,1589496235.001417,0,0,Node6,Node5,s4,1589496235.004437,1,0
Node6,Node7,s1,1589496235.170251,0,0,Node6,Node7,s2,1589496235.18207,1,0,Node7,Node6,s3,1589496235.2595809,0,0,Node7,Node6,s4,1589496235.262221,1,0
Node0,Node1,s1,1589496236.7621608,0,0,Node0,Node1,s2,1589496236.770684,0,0,Node1,Node0,s3,1589496236.8175821,0,0,Node1,Node0,s4,1589496236.820398,0,0
Node1,Node2,s1,1589496236.939266,0,0,Node1,Node2,s2,1589496236.9503381,0,0,Node2,Node1,s3,1589496236.948025,0,0,Node2,Node1,s4,1589496236.950538,0,0
Node2,Node3,s1,1589496237.096616,0,0,Node2,Node3,s2,1589496237.1112168,0,0,Node3,Node2,s3,1589496237.1004648,0,0,Node3,Node2,s4,1589496237.226621,0,0
Node3,Node4,s1,1589496237.4818099,0,0,Node3,Node4,s2,1589496237.4917371,0,0,Node4,Node3,s3,1589496237.543139,0,0,Node4,Node3,s4,1589496237.545921,0,0
Node4,Node5,s1,1589496237.682794,0,0,Node4,Node5,s2,1589496237.703242,0,0,Node5,Node4,s3,1589496237.7271302,0,0,Node5,Node4,s4,1589496237.730409,0,0
Node5,Node6,s1,1589496237.8607738,0,0,Node5,Node6,s2,1589496237.873674,0,0,Node6,Node5,s3,1589496237.9339771,0,0,Node6,Node5,s4,1589496237.938988,0,0
Node6,Node7,s1,1589496238.17695,0,0,Node6,Node7,s2,1589496238.240733,0,0,Node7,Node6,s3,1589496238.232446,0,0,Node7,Node6,s4,1589496238.235808,0,0
Node0,Node1,s1,1589496239.3507571,0,0,Node0,Node1,s2,1589496239.356268,0,1,Node1,Node0,s3,1589496239.361794,0,0,Node1,Node0,s4,1589496239.3632588,0,1
Node1,Node2,s1,1589496239.405756,0,0,Node1,Node2,s2,1589496239.411134,0,1,Node2,Node1,s3,1589496239.434434,0,0,Node2,Node1,s4,1589496239.4358668,0,1
Node2,Node3,s1,1589496239.4801579,0,0,Node2,Node3,s2,1589496239.487521,0,1,Node3,Node2,s3,1589496239.540619,0,0,Node3,Node2,s4,1589496239.542262,0,1
Node3,Node4,s1,1589496239.5783901,0,0,Node3,Node4,s2,1589496239.5825138,0,1,Node4,Node3,s3,1589496239.679449,0,0,Node4,Node3,s4,1589496239.680424,0,1
Node4,Node5,s1,1589496239.7143521,0,0,Node4,Node5,s2,1589496239.7183402,0,1,Node5,Node4,s3,1589496239.7454422,0,0,Node5,Node4,s4,1589496239.746471,0,1
Node5,Node6,s1,1589496239.784308,0,0,Node5,Node6,s2,1589496239.7985148,0,1,Node6,Node5,s3,1589496239.867958,0,0,Node6,Node5,s4,1589496239.86892,0,1
Node6,Node7,s1,1589496239.9175072,0,0,Node6,Node7,s2,1589496239.921372,0,1,Node7,Node6,s3,1589496239.980374,0,0,Node7,Node6,s4,1589496239.982302,0,1
Node0,Node1,s1,1589496303.751439,0,0,Node0,Node1,s2,1589496303.7623239,1,0,Node1,Node0,s3,1589496303.786067,0,0,Node1,Node0,s4,1589496303.788883,1,0
Node1,Node2,s1,1589496303.875312,0,0,Node1,Node2,s2,1589496303.884678,1,0,Node2,Node1,s3,1589496303.914423,0,0,Node2,Node1,s4,1589496303.917297,1,0
Node2,Node3,s1,1589496304.0684328,0,0,Node2,Node3,s2,1589496304.106883,1,0,Node3,Node2,s3,1589496304.1120121,0,0,Node3,Node2,s4,1589496304.120516,1,0
Node3,Node4,s1,1589496304.220903,0,0,Node3,Node4,s2,1589496304.2702029,1,0,Node4,Node3,s3,1589496304.2241762,0,0,Node4,Node3,s4,1589496304.332084,1,0
