Node,Sending Delay,# sent,Receiving Delay,# received,Total delay
Node0,2.226793050765991,20,0,0,2.226793050765991
Node2,2.3616766929626465,20,0.292694091796875,20,2.6543707847595215
Node3,0,0,0.8517935276031494,20,0.8517935276031494
