# bits,% error
3,0.08333333333333333
6,0.16666666666666666
4,0.10810810810810811
3,0.08108108108108109
1,0.02702702702702703
5,0.13513513513513514
5,0.13157894736842105
4,0.10526315789473684
3,0.07894736842105263
1,0.02631578947368421
1,0.02564102564102564
4,0.10256410256410256
5,0.1282051282051282
4,0.10256410256410256
5,0.12195121951219512
4,0.0975609756097561
3,0.07317073170731707
1,0.024390243902439025
5,0.11904761904761904
6,0.14285714285714285
2,0.047619047619047616
3,0.07142857142857142
7,0.16279069767441862
4,0.09302325581395349
6,0.13953488372093023
3,0.06976744186046512
3,0.06818181818181818
5,0.11363636363636363
2,0.045454545454545456
5,0.11363636363636363
3,0.06666666666666667
3,0.06666666666666667
6,0.13333333333333333
4,0.08888888888888889
6,0.13043478260869565
4,0.08695652173913043
7,0.15217391304347827
5,0.10869565217391304
1,0.02127659574468085
2,0.0425531914893617
9,0.19148936170212766
3,0.06382978723404255
6,0.125
4,0.08333333333333333
3,0.0625
3,0.0625
2,0.04081632653061224
9,0.1836734693877551
7,0.14285714285714285
5,0.10204081632653061
7,0.13725490196078433
3,0.058823529411764705
7,0.13725490196078433
6,0.11764705882352941
10,0.19230769230769232
6,0.11538461538461539
4,0.07692307692307693
9,0.17307692307692307
11,0.20754716981132076
3,0.05660377358490566
4,0.07547169811320754
7,0.1320754716981132
3,0.05555555555555555
4,0.07407407407407407
7,0.12962962962962962
3,0.05555555555555555
4,0.07272727272727272
9,0.16363636363636364
4,0.07272727272727272
1,0.01818181818181818
5,0.08928571428571429
3,0.05357142857142857
8,0.14285714285714285
6,0.10714285714285714
5,0.08771929824561403
3,0.05263157894736842
4,0.07017543859649122
5,0.08771929824561403
3,0.05172413793103448
8,0.13793103448275862
5,0.08620689655172414
3,0.05172413793103448
6,0.1016949152542373
4,0.06779661016949153
6,0.1016949152542373
4,0.06779661016949153
5,0.08333333333333333
4,0.06666666666666667
4,0.06666666666666667
2,0.03333333333333333
3,0.04918032786885246
6,0.09836065573770492
7,0.11475409836065574
5,0.08196721311475409
4,0.06451612903225806
11,0.1774193548387097
8,0.12903225806451613
4,0.06451612903225806
3,0.047619047619047616
4,0.06349206349206349
12,0.19047619047619047
4,0.06349206349206349
6,0.09375
7,0.109375
8,0.125
4,0.0625
5,0.07692307692307693
3,0.046153846153846156
6,0.09230769230769231
6,0.09230769230769231
3,0.045454545454545456
2,0.030303030303030304
5,0.07575757575757576
5,0.07575757575757576
5,0.07462686567164178
5,0.07462686567164178
6,0.08955223880597014
9,0.13432835820895522
4,0.058823529411764705
7,0.10294117647058823
11,0.16176470588235295
8,0.11764705882352941
6,0.08695652173913043
7,0.10144927536231885
5,0.07246376811594203
8,0.11594202898550725
1,0.1
2,0.2
0,0.0
0,0.0
1,0.09090909090909091
1,0.09090909090909091
0,0.0
1,0.09090909090909091
0,0.0
1,0.08333333333333333
2,0.16666666666666666
1,0.08333333333333333
1,0.07692307692307693
0,0.0
3,0.23076923076923078
2,0.15384615384615385
1,0.07142857142857142
1,0.07142857142857142
2,0.14285714285714285
3,0.21428571428571427
0,0.0
2,0.2
1,0.1
1,0.1
0,0.0
0,0.0
3,0.2727272727272727
0,0.0
1,0.08333333333333333
3,0.25
2,0.16666666666666666
1,0.08333333333333333
2,0.15384615384615385
1,0.07692307692307693
1,0.07692307692307693
1,0.07692307692307693
0,0.0
2,0.14285714285714285
1,0.07142857142857142
0,0.0
4,0.25
3,0.1875
4,0.25
3,0.1875
3,0.17647058823529413
3,0.17647058823529413
3,0.17647058823529413
1,0.058823529411764705
1,0.05555555555555555
2,0.1111111111111111
2,0.1111111111111111
2,0.1111111111111111
1,0.05263157894736842
