EPR sent,EPR recv,Cast Vote,Votes Sent,Votes recv,Recorded votes
1589386515.157241,1589386515.253885,0.1,1589386515.2657201,1589386515.366622,0.1
1589386515.7103329,1589386515.807096,1.0,1589386515.818752,1589386515.914512,1.0
1589386516.055189,1589386516.151882,1.1,1589386516.167294,1589386516.26435,1.1
1589386516.39749,1589386516.497302,1.0,1589386516.510467,1589386516.604566,1.0
1589386516.74427,1589386516.8376179,0.0,1589386516.8430521,1589386516.849928,1.1
1589386517.28051,1589386517.3822122,0.1,1589386517.3939142,1589386517.4862661,0.1
1589386517.631045,1589386517.7285602,1.1,1589386517.744479,1589386517.838711,1.1
1589386517.974879,1589386518.0745852,0.0,1589386518.081724,1589386518.1803288,0.0
1589386518.310636,1589386518.410208,0.0,1589386518.417309,1589386518.5156548,0.0
1589386518.8572109,1589386518.956665,0.1,1589386518.968199,1589386519.063238,0.1
1589386519.197175,1589386519.297597,0.1,1589386519.308567,1589386519.402333,0.1
1589386519.544689,1589386519.637125,0.0,1589386519.6445088,1589386519.6497128,0.0
1589386519.856352,1589386519.9550889,0.1,1589386519.966769,1589386520.0629618,0.1
1589386520.405747,1589386520.503993,1.0,1589386520.520025,1589386520.620235,0.1
1589386520.850848,1589386520.944083,0.0,1589386520.951267,1589386520.953374,0.0
1589386521.220444,1589386521.305902,1.1,1589386521.318908,1589386521.323395,1.1
1589386521.597364,1589386521.692617,0.0,1589386521.701663,1589386521.7021272,0.0
1589386522.1835089,1589386522.282717,1.0,1589386522.294299,1589386522.392066,1.0
1589386522.57296,1589386522.579799,1.0,1589386522.5914292,1589386522.6808052,0.0
1589386522.831796,1589386522.9335291,0.1,1589386522.945035,1589386523.037954,0.1
1589386523.1887841,1589386523.192095,1.0,1589386523.198209,1589386523.2932749,1.0
1589386523.633943,1589386523.7309902,0.0,1589386523.738179,1589386523.73906,0.0
1589386523.96612,1589386524.064368,0.0,1589386524.071821,1589386524.17234,0.0
1589386524.3040159,1589386524.40072,1.0,1589386524.4120371,1589386524.512403,1.0
1589386524.646833,1589386524.747259,0.0,1589386524.75441,1589386524.857506,0.0
1589386525.200771,1589386525.300964,1.1,1589386525.315389,1589386525.4054358,1.1
1589386525.561302,1589386525.649046,0.1,1589386525.6603289,1589386525.6656919,0.1
1589386525.8797178,1589386525.979617,0.1,1589386525.990916,1589386526.084748,0.1
1589386526.224832,1589386526.32225,1.1,1589386526.3376698,1589386526.43529,1.1
1589386526.777317,1589386526.877782,0.0,1589386526.884755,1589386526.9826639,0.0
1589386527.117172,1589386527.2209978,0.0,1589386527.228395,1589386527.322363,0.0
1589386527.46358,1589386527.555617,0.1,1589386527.566046,1589386527.5671942,0.0
1589386527.7789829,1589386527.880994,1.0,1589386527.892512,1589386527.987157,1.0
1589386528.3345358,1589386528.4363992,1.1,1589386528.4513931,1589386528.542572,0.1
1589386528.6839318,1589386528.781962,0.0,1589386528.7882361,1589386528.88753,0.0
1589386529.0165892,1589386529.120849,1.0,1589386529.13221,1589386529.2253351,1.0
1589386529.363041,1589386529.461175,0.1,1589386529.472943,1589386529.569275,0.1
1589386529.9108632,1589386530.012485,0.1,1589386530.025044,1589386530.1190798,0.0
1589386530.2568488,1589386530.353873,1.0,1589386530.3653572,1589386530.469256,1.0
1589386530.604311,1589386530.703273,0.1,1589386530.7147431,1589386530.815901,0.1
1589386530.943915,1589386530.944038,0.0,1589386530.948787,1589386531.047455,1.1
1589386531.3773272,1589386531.4756532,0.0,1589386531.482989,1589386531.5857651,0.0
1589386531.7212648,1589386531.81796,1.1,1589386531.83374,1589386531.927773,1.1
1589386532.064647,1589386532.158344,0.0,1589386532.165439,1589386532.170815,0.0
1589386532.381352,1589386532.4798899,1.0,1589386532.491507,1589386532.589529,1.0
1589386532.929279,1589386533.025791,1.0,1589386533.036227,1589386533.13644,1.0
1589386533.26614,1589386533.36214,0.1,1589386533.373248,1589386533.472821,0.1
1589386533.604984,1589386533.703205,0.1,1589386533.7146611,1589386533.814813,0.1
1589386533.941003,1589386534.04011,0.0,1589386534.0449889,1589386534.1478348,0.0
1589386534.506154,1589386534.6065128,1.1,1589386534.621324,1589386534.71135,1.1
1589386534.842835,1589386534.843434,0.1,1589386534.850424,1589386534.945559,0.1
