EPR sent,EPR recv,Cast Vote,Votes Sent,Votes recv,Recorded votes,# vote err,% vote err,transmission delay epr,transmission delay voting
1589386514.455953,1589386514.557167,1.0,1589386514.568286,1589386514.6623738,1.0,0,0.0,0.10121417045593262,0.09408783912658691
1589386514.805975,1589386514.909747,0.1,1589386514.921161,1589386515.0104792,0.1,0,0.0,0.10377192497253418,0.08931827545166016
1589386515.157241,1589386515.253885,0.1,1589386515.2657201,1589386515.366622,0.1,0,0.0,0.09664392471313477,0.10090184211730957
1589386515.7103329,1589386515.807096,1.0,1589386515.818752,1589386515.914512,1.0,0,0.0,0.09676313400268555,0.09575986862182617
1589386516.055189,1589386516.151882,1.1,1589386516.167294,1589386516.26435,1.1,0,0.0,0.09669303894042969,0.09705591201782227
1589386516.39749,1589386516.497302,1.0,1589386516.510467,1589386516.604566,1.0,0,0.0,0.09981203079223633,0.09409904479980469
1589386516.74427,1589386516.8376179,0.0,1589386516.8430521,1589386516.849928,1.1,2,1.0,0.09334778785705566,0.006875753402709961
1589386517.28051,1589386517.3822122,0.1,1589386517.3939142,1589386517.4862661,0.1,0,0.0,0.10170221328735352,0.09235191345214844
1589386517.631045,1589386517.7285602,1.1,1589386517.744479,1589386517.838711,1.1,0,0.0,0.09751510620117188,0.09423208236694336
1589386517.974879,1589386518.0745852,0.0,1589386518.081724,1589386518.1803288,0.0,0,0.0,0.09970617294311523,0.09860491752624512
1589386518.310636,1589386518.410208,0.0,1589386518.417309,1589386518.5156548,0.0,0,0.0,0.09957194328308105,0.09834575653076172
1589386518.8572109,1589386518.956665,0.1,1589386518.968199,1589386519.063238,0.1,0,0.0,0.09945416450500488,0.09503889083862305
1589386519.197175,1589386519.297597,0.1,1589386519.308567,1589386519.402333,0.1,0,0.0,0.10042190551757812,0.0937659740447998
1589386519.544689,1589386519.637125,0.0,1589386519.6445088,1589386519.6497128,0.0,0,0.0,0.09243607521057129,0.005203962326049805
1589386519.856352,1589386519.9550889,0.1,1589386519.966769,1589386520.0629618,0.1,0,0.0,0.09873676300048828,0.09619283676147461
1589386520.405747,1589386520.503993,1.0,1589386520.520025,1589386520.620235,0.1,2,1.0,0.09824609756469727,0.10020995140075684
1589386520.850848,1589386520.944083,0.0,1589386520.951267,1589386520.953374,0.0,0,0.0,0.09323501586914062,0.002106904983520508
1589386521.220444,1589386521.305902,1.1,1589386521.318908,1589386521.323395,1.1,0,0.0,0.08545804023742676,0.004487037658691406
1589386521.597364,1589386521.692617,0.0,1589386521.701663,1589386521.7021272,0.0,0,0.0,0.09525299072265625,0.0004642009735107422
1589386522.1835089,1589386522.282717,1.0,1589386522.294299,1589386522.392066,1.0,0,0.0,0.09920811653137207,0.09776711463928223
1589386522.57296,1589386522.579799,1.0,1589386522.5914292,1589386522.6808052,0.0,1,0.5,0.00683903694152832,0.08937597274780273
1589386522.831796,1589386522.9335291,0.1,1589386522.945035,1589386523.037954,0.1,0,0.0,0.10173320770263672,0.09291911125183105
1589386523.1887841,1589386523.192095,1.0,1589386523.198209,1589386523.2932749,1.0,0,0.0,0.0033109188079833984,0.09506583213806152
1589386523.633943,1589386523.7309902,0.0,1589386523.738179,1589386523.73906,0.0,0,0.0,0.09704709053039551,0.0008809566497802734
