# vote err,% vote err,transmission delay epr,transmission delay voting
0,0.0,0.09405398368835449,0.09594297409057617
0,0.0,0.09395217895507812,0.09418487548828125
0,0.0,0.10645794868469238,0.09106183052062988
0,0.0,0.10146474838256836,0.09566736221313477
1,0.5,0.10128617286682129,0.09169888496398926
0,0.0,0.09937405586242676,0.08779597282409668
0,0.0,0.09974384307861328,0.09975409507751465
0,0.0,0.09158492088317871,0.005282163619995117
0,0.0,0.0963592529296875,0.10010099411010742
1,0.5,0.1003880500793457,0.0979299545288086
0,0.0,0.10151219367980957,0.09042811393737793
0,0.0,0.10150790214538574,0.09369587898254395
0,0.0,0.09749197959899902,0.10338282585144043
0,0.0,-7.867813110351562e-06,0.09787487983703613
2,1.0,0.09996533393859863,0.09948110580444336
0,0.0,0.09982109069824219,0.09536194801330566
1,0.5,0.10279965400695801,0.09020686149597168
1,0.5,0.10204625129699707,0.09096384048461914
0,0.0,0.09646415710449219,0.0005021095275878906
0,0.0,0.1000370979309082,0.09694314002990723
0,0.0,0.09727835655212402,0.09767794609069824
0,0.0,0.09353494644165039,0.0004379749298095703
0,0.0,0.08796906471252441,0.01125192642211914
0,0.0,0.10270500183105469,0.0952451229095459
0,0.0,0.10038614273071289,0.09018921852111816
0,0.0,0.0988616943359375,0.0978081226348877
0,0.0,0.09398031234741211,0.004778861999511719
0,0.0,0.09803915023803711,0.10107278823852539
0,0.0,0.10132813453674316,0.09315299987792969
0,0.0,0.09412193298339844,0.10185790061950684
0,0.0,0.10263872146606445,0.0937960147857666
2,1.0,0.10547900199890137,0.09875893592834473
0,0.0,0.09735608100891113,0.09422707557678223
0,0.0,0.10121417045593262,0.09408783912658691
0,0.0,0.10377192497253418,0.08931827545166016
0,0.0,0.09664392471313477,0.10090184211730957
0,0.0,0.09676313400268555,0.09575986862182617
0,0.0,0.09669303894042969,0.09705591201782227
0,0.0,0.09981203079223633,0.09409904479980469
2,1.0,0.09334778785705566,0.006875753402709961
0,0.0,0.10170221328735352,0.09235191345214844
0,0.0,0.09751510620117188,0.09423208236694336
0,0.0,0.09970617294311523,0.09860491752624512
0,0.0,0.09957194328308105,0.09834575653076172
0,0.0,0.09945416450500488,0.09503889083862305
0,0.0,0.10042190551757812,0.0937659740447998
0,0.0,0.09243607521057129,0.005203962326049805
0,0.0,0.09873676300048828,0.09619283676147461
2,1.0,0.09824609756469727,0.10020995140075684
0,0.0,0.09323501586914062,0.002106904983520508
0,0.0,0.08545804023742676,0.004487037658691406
0,0.0,0.09525299072265625,0.0004642009735107422
0,0.0,0.09920811653137207,0.09776711463928223
1,0.5,0.00683903694152832,0.08937597274780273
0,0.0,0.10173320770263672,0.09291911125183105
0,0.0,0.0033109188079833984,0.09506583213806152
0,0.0,0.09704709053039551,0.0008809566497802734
0,0.0,0.09824800491333008,0.10051894187927246
0,0.0,0.09670400619506836,0.10036587715148926
0,0.0,0.10042595863342285,0.10309600830078125
0,0.0,0.10019302368164062,0.09004688262939453
0,0.0,0.08774399757385254,0.005362987518310547
0,0.0,0.0998992919921875,0.09383201599121094
0,0.0,0.09741783142089844,0.09762024879455566
0,0.0,0.10046505928039551,0.09790897369384766
0,0.0,0.10382580757141113,0.09396791458129883
1,0.5,0.09203720092773438,0.001148223876953125
0,0.0,0.10201120376586914,0.09464502334594727
1,0.5,0.10186338424682617,0.09117889404296875
0,0.0,0.09803009033203125,0.09929394721984863
0,0.0,0.10425972938537598,0.0931251049041748
0,0.0,0.09813404083251953,0.09633183479309082
1,0.5,0.10162186622619629,0.09403586387634277
0,0.0,0.09702420234680176,0.10389876365661621
0,0.0,0.09896206855773926,0.10115790367126465
2,1.0,0.00012302398681640625,0.09866809844970703
0,0.0,0.09832596778869629,0.10277605056762695
0,0.0,0.0966951847076416,0.09403300285339355
0,0.0,0.09369707107543945,0.005376100540161133
0,0.0,0.09853792190551758,0.0980219841003418
0,0.0,0.0965118408203125,0.10021305084228516
0,0.0,0.09599995613098145,0.09957289695739746
0,0.0,0.0982210636138916,0.10015177726745605
0,0.0,0.09910702705383301,0.10284590721130371
0,0.0,0.10035872459411621,0.0900259017944336
0,0.0,0.0005991458892822266,0.09513497352600098
0,0.0,0.09727001190185547,0.09925580024719238
0,0.0,0.09556698799133301,0.09999513626098633
0,0.0,0.09969186782836914,0.09286189079284668
0,0.0,0.09771490097045898,0.09721922874450684
0,0.0,0.0960690975189209,0.0006198883056640625
2,1.0,0.09967994689941406,0.0926363468170166
0,0.0,0.09615612030029297,0.1015021800994873
1,0.5,0.10541486740112305,0.09400391578674316
0,0.0,0.10489392280578613,0.09718108177185059
0,0.0,0.001968860626220703,0.09401106834411621
0,0.0,0.09134101867675781,0.004643917083740234
1,0.5,0.10200333595275879,0.09581279754638672
1,0.5,0.09676194190979004,0.09815001487731934
0,0.0,0.0912938117980957,0.10398578643798828
0,0.0,0.10230803489685059,0.09819483757019043
0,0.0,0.0979459285736084,0.10355091094970703
1,0.5,0.1005868911743164,0.09426164627075195
0,0.0,0.09450101852416992,0.10212993621826172
0,0.0,0.0980532169342041,0.1029210090637207
0,0.0,0.10121488571166992,0.09352397918701172
0,0.0,0.10160517692565918,0.0948171615600586
0,0.0,0.0014460086822509766,0.0996239185333252
0,0.0,0.10312485694885254,0.09016799926757812
1,0.5,0.09984898567199707,0.0985722541809082
0,0.0,0.10626411437988281,0.09469294548034668
0,0.0,0.09506893157958984,0.10472393035888672
0,0.0,0.09948420524597168,0.0926671028137207
0,0.0,0.09543013572692871,0.00021600723266601562
0,0.0,0.10244178771972656,0.08908796310424805
