Node,Sending Delay,# sent,Receiving Delay,# received,Total delay
Node0,0.041556596755981445,10,0,0,0.2245802879333496
Node2,0.03780961036682129,10,0.014616012573242188,10,0.5436899662017822
Node3,0,0,0.015557050704956055,10,0.09365320205688477
