1st node, 2nd node, Step, timestamp
Node7,Node6,4,1589488685.198433
Node0,Node1,1,1589488689.283764
Node0,Node1,2,1589488689.395762
Node1,Node0,3,1589488689.3698208
Node1,Node0,4,1589488689.395929
Node1,Node2,1,1589488689.405385
Node1,Node2,2,1589488689.526161
Node2,Node1,3,1589488689.467099
Node2,Node1,4,1589488689.526335
Node2,Node3,1,1589488689.540181
Node2,Node3,2,1589488689.658271
Node3,Node2,3,1589488689.607554
Node3,Node2,4,1589488689.6588218
Node3,Node4,1,1589488689.675869
Node3,Node4,2,1589488689.692688
Node4,Node3,3,1589488689.6892958
Node4,Node3,4,1589488689.692817
Node4,Node5,1,1589488689.703004
Node4,Node5,2,1589488689.824482
Node5,Node4,3,1589488689.7968042
Node5,Node4,4,1589488689.824932
Node5,Node6,1,1589488689.849204
Node5,Node6,2,1589488689.9712121
Node6,Node5,3,1589488689.910555
Node6,Node5,4,1589488689.971426
Node6,Node7,1,1589488689.993237
Node6,Node7,2,1589488690.120071
Node7,Node6,3,1589488690.0881689
Node7,Node6,4,1589488690.1201868
Node0,Node1,1,1589488699.636745
Node0,Node1,2,1589488699.751601
Node1,Node0,3,1589488699.706537
Node1,Node0,4,1589488699.751765
Node1,Node2,1,1589488699.765447
Node1,Node2,2,1589488699.886518
Node2,Node1,3,1589488699.7951229
Node2,Node1,4,1589488699.886879
Node2,Node3,1,1589488699.900297
Node2,Node3,2,1589488700.0184262
Node3,Node2,3,1589488699.923875
Node3,Node2,4,1589488700.018975
Node3,Node4,1,1589488700.0317461
Node3,Node4,2,1589488700.0498948
Node4,Node3,3,1589488700.0410838
Node4,Node3,4,1589488700.0501409
Node4,Node5,1,1589488700.063721
Node4,Node5,2,1589488700.080085
Node5,Node4,3,1589488700.070888
Node5,Node4,4,1589488700.080317
Node5,Node6,1,1589488700.0939572
Node5,Node6,2,1589488700.216974
Node6,Node5,3,1589488700.168158
Node6,Node5,4,1589488700.217328
Node6,Node7,1,1589488700.233879
Node6,Node7,2,1589488700.354344
Node7,Node6,3,1589488700.274694
